termino,origen,documentos,tipo_evidencia,decision_9_4_1,motivo,mef_dic_id
Configuration,REVISION_CANDIDATOS_ARQ,ARQ-013,DEFINICION_EXPLICITA,ELEGIBLE_PARA_DECISION_CANONICA,"Definición explícita de alta confianza en autoridad ARQ con cuerpo normativo; pasa a decisión, sin asignar ID.",NO_ASIGNADO
Contract,REVISION_CANDIDATOS_ARQ,ARQ-011,DEFINICION_EXPLICITA,ELEGIBLE_PARA_DECISION_CANONICA,"Definición explícita de alta confianza en autoridad ARQ con cuerpo normativo; pasa a decisión, sin asignar ID.",NO_ASIGNADO
Dependency Injection,REVISION_CANDIDATOS_ARQ,ARQ-012,DEFINICION_EXPLICITA,ELEGIBLE_PARA_DECISION_CANONICA,"Definición explícita de alta confianza en autoridad ARQ con cuerpo normativo; pasa a decisión, sin asignar ID.",NO_ASIGNADO
Invariantes arquitectónicos,REVISION_CANDIDATOS_ARQ,ARQ-004;ARQ-010;ARQ-011;ARQ-012;ARQ-013;ARQ-017,ENCABEZADO_SEMANTICO,NO_ELEGIBLE_EDITORIAL,La evidencia corresponde a encabezado/estructura editorial y no demuestra identidad terminológica autónoma.,NO_ASIGNADO
Modelo Arquitectónico,REVISION_CANDIDATOS_ARQ,ARQ-011;ARQ-012;ARQ-013;ARQ-017,ENCABEZADO_SEMANTICO,NO_ELEGIBLE_EDITORIAL,La evidencia corresponde a encabezado/estructura editorial y no demuestra identidad terminológica autónoma.,NO_ASIGNADO
Modelo de Generación,REVISION_CANDIDATOS_ARQ,ARQ-010,ENCABEZADO_SEMANTICO,NO_ELEGIBLE_EDITORIAL,La evidencia corresponde a encabezado/estructura editorial y no demuestra identidad terminológica autónoma.,NO_ASIGNADO
Module,REVISION_CANDIDATOS_ARQ,ARQ-004,DEFINICION_EXPLICITA,ELEGIBLE_PARA_DECISION_CANONICA,"Definición explícita de alta confianza en autoridad ARQ con cuerpo normativo; pasa a decisión, sin asignar ID.",NO_ASIGNADO
Arquitectura General,CANDIDATOS_ARQ_SIN_CUERPO,ARQ-000,EVIDENCIA_TRANSVERSAL (5 coincidencias / 5 documentos),DIFERIDO_SIN_AUTORIDAD_DEFINITORIA,"Existe cobertura transversal, pero el documento nominal carece de cuerpo normativo definitorio; frecuencia no sustituye autoridad.",NO_ASIGNADO
Visión Arquitectónica,CANDIDATOS_ARQ_SIN_CUERPO,ARQ-001,EVIDENCIA_TRANSVERSAL (5 coincidencias / 5 documentos),DIFERIDO_SIN_AUTORIDAD_DEFINITORIA,"Existe cobertura transversal, pero el documento nominal carece de cuerpo normativo definitorio; frecuencia no sustituye autoridad.",NO_ASIGNADO
Core,CANDIDATOS_ARQ_SIN_CUERPO,ARQ-002,EVIDENCIA_TRANSVERSAL (275 coincidencias / 55 documentos),DIFERIDO_SIN_AUTORIDAD_DEFINITORIA,"Existe cobertura transversal, pero el documento nominal carece de cuerpo normativo definitorio; frecuencia no sustituye autoridad.",NO_ASIGNADO
Platform,CANDIDATOS_ARQ_SIN_CUERPO,ARQ-003,EVIDENCIA_TRANSVERSAL (140 coincidencias / 43 documentos),DIFERIDO_SIN_AUTORIDAD_DEFINITORIA,"Existe cobertura transversal, pero el documento nominal carece de cuerpo normativo definitorio; frecuencia no sustituye autoridad.",NO_ASIGNADO
Kernel,CANDIDATOS_ARQ_SIN_CUERPO,ARQ-005,EVIDENCIA_TRANSVERSAL (23 coincidencias / 12 documentos),DIFERIDO_SIN_AUTORIDAD_DEFINITORIA,"Existe cobertura transversal, pero el documento nominal carece de cuerpo normativo definitorio; frecuencia no sustituye autoridad.",NO_ASIGNADO
