clave_conceptual,termino_preferido_provisional,variantes,numero_variantes,apariciones,capas,fuentes_distintas,fuentes,tipos_evidencia,definiciones_explicitas,estado_10_3,canonizado,mef_dic_id,resolucion_autoridad_10_4,autoridad_principal,evidencia_subordinada,fundamento_autoridad,conflicto_detectado,decision_10_5,nombre_canonico_pre_id,aliases_provisionales,fundamento_10_5,estado_catalogo
acoplamiento oculto,Acoplamiento oculto,Acoplamiento oculto,1,1,ARQ,1,ARQ-004,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-004,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,Acoplamiento oculto,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
activo empaquetabl,Activos Empaquetables,Activos Empaquetables,1,1,ARQ,1,ARQ-017,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-017,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,Activos Empaquetables,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-011,AI-011,AI-011,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-004,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-012,AI-012,AI-012,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-004,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-012,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-013,AI-013,AI-013,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-004,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-014,AI-014,AI-014,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-004,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-014,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-015,AI-015,AI-015,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-004,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-015,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-016,AI-016,AI-016,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-004,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-016,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-017,AI-017,AI-017,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-004,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-018,AI-018,AI-018,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-004,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-018,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
