"Termino","DocumentoNominal","EstadoDocumento","EstadoTerminologico","AutoridadDefinitoria","Notas"
"Arquitectura General","ARQ-000","SIN_CUERPO_NORMATIVO","REQUIERE_EVIDENCIA_TRANSVERSAL","","No inferir definición desde título o front matter."
"Visión Arquitectónica","ARQ-001","SIN_CUERPO_NORMATIVO","REQUIERE_EVIDENCIA_TRANSVERSAL","","No inferir definición desde título o front matter."
"Core","ARQ-002","SIN_CUERPO_NORMATIVO","REQUIERE_EVIDENCIA_TRANSVERSAL","","No inferir definición desde título o front matter."
"Platform","ARQ-003","SIN_CUERPO_NORMATIVO","REQUIERE_EVIDENCIA_TRANSVERSAL","","No inferir definición desde título o front matter."
"Kernel","ARQ-005","SIN_CUERPO_NORMATIVO","REQUIERE_EVIDENCIA_TRANSVERSAL","","No inferir definición desde título o front matter."
"Registry","ARQ-006","SIN_CUERPO_NORMATIVO","REQUIERE_EVIDENCIA_TRANSVERSAL","","No inferir definición desde título o front matter."
"Service Container","ARQ-007","SIN_CUERPO_NORMATIVO","REQUIERE_EVIDENCIA_TRANSVERSAL","","No inferir definición desde título o front matter."
"Event Bus","ARQ-008","SIN_CUERPO_NORMATIVO","REQUIERE_EVIDENCIA_TRANSVERSAL","","No inferir definición desde título o front matter."
"Builders","ARQ-009","SIN_CUERPO_NORMATIVO","REQUIERE_EVIDENCIA_TRANSVERSAL","","No inferir definición desde título o front matter."
"Framework Lifecycle","ARQ-014","SIN_CUERPO_NORMATIVO","REQUIERE_EVIDENCIA_TRANSVERSAL","","No inferir definición desde título o front matter."
"Extension Model","ARQ-015","SIN_CUERPO_NORMATIVO","REQUIERE_EVIDENCIA_TRANSVERSAL","","No inferir definición desde título o front matter."
"Security","ARQ-016","SIN_CUERPO_NORMATIVO","REQUIERE_EVIDENCIA_TRANSVERSAL","","No inferir definición desde título o front matter."
