mef_v3_id,termino_canonico,tipo,severidad,detalle,bloqueante,accion
MEF-V3-DIC-0001,Acoplamiento oculto,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0002,Activos Empaquetables,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0003,AI-011,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0004,AI-012,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0005,AI-013,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0006,AI-014,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0007,AI-015,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,TRANSVERSAL_PARCIAL_2_CAPAS,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0008,AI-016,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0009,AI-017,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0010,AI-018,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0011,AI-055,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0012,AI-056,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0013,AI-057,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0014,AI-058,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0015,AI-058 La generación,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0016,AI-059,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0017,AI-059 Las plantillas,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0018,AI-060,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0019,AI-061,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0020,AI-062,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0021,AI-063,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0022,AI-064,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0023,AI-064 Los Contracts,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0024,AI-065,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0025,AI-066,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0026,AI-066 Los Contracts,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0027,AI-067,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0028,AI-068,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0029,AI-069,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0030,AI-070,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0031,AI-071,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0032,AI-072,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0033,AI-072 Constructor Injection,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0034,AI-073,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0035,AI-074,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0036,AI-075,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0037,AI-075 Toda política,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0038,AI-076,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0039,AI-076 La configuración,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0040,AI-077,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0041,AI-078,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0042,AI-097,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0043,AI-098,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0044,AI-099,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0045,AI-100,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0046,AI-101,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0047,AI-102,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0048,AI-102 Todo Package,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0049,Anatomía conceptual,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,COBERTURA_LOCAL_1_CAPA,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
MEF-V3-DIC-0050,API pública,COBERTURA_TRANSVERSAL_INCOMPLETA,OBSERVACION,TRANSVERSAL_PARCIAL_2_CAPAS,NO,Conservar como trazabilidad válida; la ausencia en otra capa no implica contradicción.
