tipo_no_conformidad,severidad,mef_v3_id,termino_canonico,forma_observada,capa,fuente_id,archivo,linea,contexto,accion_recomendada,requiere_modificacion_fuente
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,254,Component A,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,260,Component B,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,266,Component A,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,272,Component B,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,757,Component,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,839,Component A,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,845,Component B,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-005,ENG-005-NOMENCLATURA.md,1765,CT = Component Type,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-009,ENG-009-TESTING.md,977,changed component,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-010,ENG-010-LOGGING.md,207,Component,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-010,ENG-010-LOGGING.md,796,component.registered,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-010,ENG-010-LOGGING.md,797,component.deprecated,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-011,ENG-011-CONFIGURATION_FILES.md,160,What the component IS,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-011,ENG-011-CONFIGURATION_FILES.md,164,How the component OPERATES,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-011,ENG-011-CONFIGURATION_FILES.md,454,Component,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-014,ENG-014-VERSIONADO.md,847,Component Identity,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-014,ENG-014-VERSIONADO.md,1482,component,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-014,ENG-014-VERSIONADO.md,1494,component: PKG-CRM,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-014,ENG-014-VERSIONADO.md,1509,component: CTR-IDENTITY,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-014,ENG-014-VERSIONADO.md,1580,"son referencias de desarrollo, no Component Versions.","Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-014,ENG-014-VERSIONADO.md,2028,component,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-014,ENG-014-VERSIONADO.md,2052,# 152. Component Version,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-015,ENG-015-ARCHITECTURAL_STATE_MACHINE.md,2697,framework workflow component,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-016,ENG-016-COMPATIBILITY.md,1322,| Component | Version | MEF | Runtime | Contract |,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
ALIAS_NO_DECLARADO,MEDIA,MEF-V3-DIC-0069,Componentes,Component,ENG,ENG-016,ENG-016-COMPATIBILITY.md,3151,COMPONENT,"Resolver en 11.3 como alias controlado, denominación histórica o variante no admitida.",NO_EN_11_2
