control,valor,esperado,resultado
FASE_11_1_STATUS,CLOSED / PASS,CLOSED / PASS,PASS
FASE_11_2_STATUS,CLOSED / PASS_WITH_OBSERVATIONS,CLOSED,PASS
FASE_11_3_STATUS,CLOSED / PASS,CLOSED / PASS,PASS
FASE_11_4_STATUS,CLOSED / PASS,CLOSED / PASS,PASS
FASE_11_5_STATUS,CLOSED / PASS_WITH_OBSERVATIONS,CLOSED,PASS
MEF_V3_CONCEPTS,203,203,PASS
PRIMARY_AUTHORITY_EVIDENCED,203,203,PASS
CONCEPT_SOURCE_LINKS,2615,2615,PASS
CRITICAL_CONCEPT_CONFLICTS,0,0,PASS
HIERARCHY_LINK_CONFLICTS,0,0,PASS
BROKEN_ALIAS_LINKS,0,0,PASS
BLOCKING_FINDINGS,0,0,PASS
NON_BLOCKING_OBSERVATIONS,180,INFORMATIVE,PASS
PRIOR_CONTROL_FAILS,0,0,PASS
DICTIONARY_MUTATIONS,0,0,PASS
SOURCE_MUTATIONS,0,0,PASS
NEW_MEF_V3_IDS,0,0,PASS
