mef_v3_id,termino_canonico,capa,fuente_id,archivo,linea,tipo_coincidencia,forma_encontrada,contexto
MEF-V3-DIC-0001,Acoplamiento oculto,ARQ,ARQ-004,ARQ-004-MODULES.md,607,CANONICO,Acoplamiento oculto,## Acoplamiento oculto
MEF-V3-DIC-0002,Activos Empaquetables,ARQ,ARQ-017,ARQ-017-PACKAGING.md,105,CANONICO,Activos Empaquetables,# 6. Activos Empaquetables
MEF-V3-DIC-0003,AI-011,ARQ,ARQ-004,ARQ-004-MODULES.md,588,CANONICO,AI-011,| AI-011 | Un Module no modifica el Core. |
MEF-V3-DIC-0004,AI-012,ARQ,ARQ-004,ARQ-004-MODULES.md,589,CANONICO,AI-012,| AI-012 | Un Module no depende de Applications. |
MEF-V3-DIC-0005,AI-013,ARQ,ARQ-004,ARQ-004-MODULES.md,590,CANONICO,AI-013,| AI-013 | Los elementos internos de un Module no forman parte de su API pública. |
MEF-V3-DIC-0006,AI-014,ARQ,ARQ-004,ARQ-004-MODULES.md,591,CANONICO,AI-014,| AI-014 | Las dependencias entre Modules utilizan contratos públicos. |
MEF-V3-DIC-0007,AI-015,ARQ,ARQ-004,ARQ-004-MODULES.md,592,CANONICO,AI-015,| AI-015 | Las dependencias circulares entre Modules están prohibidas. |
MEF-V3-DIC-0007,AI-015,ENG,ENG-009,ENG-009-TESTING.md,333,CANONICO,AI-015,AT-AI-015
MEF-V3-DIC-0008,AI-016,ARQ,ARQ-004,ARQ-004-MODULES.md,593,CANONICO,AI-016,"| AI-016 | Todo Module declara identidad, versión y dependencias. |"
MEF-V3-DIC-0009,AI-017,ARQ,ARQ-004,ARQ-004-MODULES.md,594,CANONICO,AI-017,| AI-017 | Cada Module controla sus propios límites funcionales y datos. |
MEF-V3-DIC-0010,AI-018,ARQ,ARQ-004,ARQ-004-MODULES.md,595,CANONICO,AI-018,| AI-018 | Todo Module debe poder habilitarse o deshabilitarse de forma controlada. |
MEF-V3-DIC-0011,AI-055,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,211,CANONICO,AI-055,| AI-055 | Toda plantilla posee identidad única. |
MEF-V3-DIC-0012,AI-056,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,212,CANONICO,AI-056,| AI-056 | Toda plantilla declara versión. |
MEF-V3-DIC-0013,AI-057,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,213,CANONICO,AI-057,| AI-057 | Todo artefacto generado cumple las convenciones oficiales. |
MEF-V3-DIC-0014,AI-058,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,214,CANONICO,AI-058,| AI-058 | La generación es determinista. |
MEF-V3-DIC-0015,AI-058 La generación,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,214,CANONICO,AI-058 La generación,| AI-058 | La generación es determinista. |
MEF-V3-DIC-0016,AI-059,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,215,CANONICO,AI-059,| AI-059 | Las plantillas son reutilizables. |
MEF-V3-DIC-0017,AI-059 Las plantillas,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,215,CANONICO,AI-059 Las plantillas,| AI-059 | Las plantillas son reutilizables. |
MEF-V3-DIC-0018,AI-060,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,216,CANONICO,AI-060,| AI-060 | El Template Engine no contiene lógica de negocio. |
MEF-V3-DIC-0019,AI-061,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,205,CANONICO,AI-061,| AI-061 | Todo servicio público posee un Contract. |
MEF-V3-DIC-0020,AI-062,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,206,CANONICO,AI-062,| AI-062 | Ningún componente público depende directamente de implementaciones concretas. |
MEF-V3-DIC-0021,AI-063,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,207,CANONICO,AI-063,| AI-063 | Los Contracts no contienen lógica de negocio. |
MEF-V3-DIC-0022,AI-064,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,208,CANONICO,AI-064,| AI-064 | Los Contracts son independientes de la tecnología utilizada. |
MEF-V3-DIC-0023,AI-064 Los Contracts,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,208,CANONICO,AI-064 Los Contracts,| AI-064 | Los Contracts son independientes de la tecnología utilizada. |
MEF-V3-DIC-0024,AI-065,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,209,CANONICO,AI-065,| AI-065 | Toda implementación deberá respetar el Contract que declara. |
MEF-V3-DIC-0025,AI-066,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,210,CANONICO,AI-066,| AI-066 | Los Contracts son versionables y trazables. |
MEF-V3-DIC-0026,AI-066 Los Contracts,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,210,CANONICO,AI-066 Los Contracts,| AI-066 | Los Contracts son versionables y trazables. |
MEF-V3-DIC-0027,AI-067,ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,192,CANONICO,AI-067,| AI-067 | Toda dependencia pública se expresa mediante un Contract. |
MEF-V3-DIC-0028,AI-068,ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,193,CANONICO,AI-068,| AI-068 | Los consumidores no crean implementaciones. |
MEF-V3-DIC-0029,AI-069,ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,194,CANONICO,AI-069,| AI-069 | La resolución corresponde al Service Container. |
MEF-V3-DIC-0030,AI-070,ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,195,CANONICO,AI-070,| AI-070 | La sustitución de implementaciones será transparente. |
MEF-V3-DIC-0031,AI-071,ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,196,CANONICO,AI-071,| AI-071 | La DI preserva el desacoplamiento arquitectónico. |
MEF-V3-DIC-0032,AI-072,ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,197,CANONICO,AI-072,| AI-072 | Constructor Injection constituye la estrategia preferida. |
MEF-V3-DIC-0033,AI-072 Constructor Injection,ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,197,CANONICO,AI-072 Constructor Injection,| AI-072 | Constructor Injection constituye la estrategia preferida. |
MEF-V3-DIC-0034,AI-073,ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,223,CANONICO,AI-073,| AI-073 | Toda configuración posee un propietario claramente definido. |
MEF-V3-DIC-0035,AI-074,ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,224,CANONICO,AI-074,| AI-074 | La configuración no contiene lógica de negocio. |
MEF-V3-DIC-0036,AI-075,ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,225,CANONICO,AI-075,| AI-075 | Toda política es verificable. |
MEF-V3-DIC-0037,AI-075 Toda política,ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,225,CANONICO,AI-075 Toda política,| AI-075 | Toda política es verificable. |
MEF-V3-DIC-0038,AI-076,ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,226,CANONICO,AI-076,| AI-076 | La configuración es versionable. |
MEF-V3-DIC-0039,AI-076 La configuración,ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,226,CANONICO,AI-076 La configuración,| AI-076 | La configuración es versionable. |
MEF-V3-DIC-0040,AI-077,ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,227,CANONICO,AI-077,| AI-077 | Las decisiones arquitectónicas no podrán modificarse mediante configuración. |
MEF-V3-DIC-0041,AI-078,ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,228,CANONICO,AI-078,| AI-078 | Toda configuración deberá validarse antes de utilizarse. |
MEF-V3-DIC-0042,AI-097,ARQ,ARQ-017,ARQ-017-PACKAGING.md,211,CANONICO,AI-097,| AI-097 | Todo Package posee identidad única. |
