"Termino","Documento","Archivo","Seccion","TipoEvidencia","Confianza","Clasificacion","Motivo","EstadoValidacion"
"Configuration","ARQ-013","ARQ-013-CONFIGURATION.md","6. Responsabilidades","DEFINICION_EXPLICITA","ALTA","CANDIDATO_FUERTE","Dispone de evidencia definitoria explícita en una autoridad ARQ con cuerpo normativo.","EN_REVISION"
"Contract","ARQ-011","ARQ-011-CONTRACTS.md","6. Responsabilidades","DEFINICION_EXPLICITA","ALTA","CANDIDATO_FUERTE","Dispone de evidencia definitoria explícita en una autoridad ARQ con cuerpo normativo.","EN_REVISION"
"Contract","ARQ-011","ARQ-011-CONTRACTS.md","4. Filosofía","DEFINICION_EXPLICITA","ALTA","CANDIDATO_FUERTE","Dispone de evidencia definitoria explícita en una autoridad ARQ con cuerpo normativo.","EN_REVISION"
"Dependency Injection","ARQ-012","ARQ-012-DEPENDENCY_INJECTION.md","6. Responsabilidades","DEFINICION_EXPLICITA","ALTA","CANDIDATO_FUERTE","Dispone de evidencia definitoria explícita en una autoridad ARQ con cuerpo normativo.","EN_REVISION"
"Invariantes arquitectónicos","ARQ-004","ARQ-004-MODULES.md","25. Invariantes arquitectónicos","ENCABEZADO_SEMANTICO","MEDIA","DESCARTAR_EDITORIAL","Encabezado o estructura documental; no demuestra identidad terminológica autónoma.","EN_REVISION"
"Invariantes Arquitectónicos","ARQ-010","ARQ-010-TEMPLATE_ENGINE.md","12. Invariantes Arquitectónicos","ENCABEZADO_SEMANTICO","MEDIA","DESCARTAR_EDITORIAL","Encabezado o estructura documental; no demuestra identidad terminológica autónoma.","EN_REVISION"
"Invariantes Arquitectónicos","ARQ-011","ARQ-011-CONTRACTS.md","13. Invariantes Arquitectónicos","ENCABEZADO_SEMANTICO","MEDIA","DESCARTAR_EDITORIAL","Encabezado o estructura documental; no demuestra identidad terminológica autónoma.","EN_REVISION"
"Invariantes Arquitectónicos","ARQ-012","ARQ-012-DEPENDENCY_INJECTION.md","12. Invariantes Arquitectónicos","ENCABEZADO_SEMANTICO","MEDIA","DESCARTAR_EDITORIAL","Encabezado o estructura documental; no demuestra identidad terminológica autónoma.","EN_REVISION"
"Invariantes Arquitectónicos","ARQ-013","ARQ-013-CONFIGURATION.md","13. Invariantes Arquitectónicos","ENCABEZADO_SEMANTICO","MEDIA","DESCARTAR_EDITORIAL","Encabezado o estructura documental; no demuestra identidad terminológica autónoma.","EN_REVISION"
"Invariantes Arquitectónicos","ARQ-017","ARQ-017-PACKAGING.md","13. Invariantes Arquitectónicos","ENCABEZADO_SEMANTICO","MEDIA","DESCARTAR_EDITORIAL","Encabezado o estructura documental; no demuestra identidad terminológica autónoma.","EN_REVISION"
"Modelo Arquitectónico","ARQ-011","ARQ-011-CONTRACTS.md","5. Modelo Arquitectónico","ENCABEZADO_SEMANTICO","MEDIA","DESCARTAR_EDITORIAL","Encabezado o estructura documental; no demuestra identidad terminológica autónoma.","EN_REVISION"
"Modelo Arquitectónico","ARQ-012","ARQ-012-DEPENDENCY_INJECTION.md","5. Modelo Arquitectónico","ENCABEZADO_SEMANTICO","MEDIA","DESCARTAR_EDITORIAL","Encabezado o estructura documental; no demuestra identidad terminológica autónoma.","EN_REVISION"
"Modelo Arquitectónico","ARQ-013","ARQ-013-CONFIGURATION.md","5. Modelo Arquitectónico","ENCABEZADO_SEMANTICO","MEDIA","DESCARTAR_EDITORIAL","Encabezado o estructura documental; no demuestra identidad terminológica autónoma.","EN_REVISION"
"Modelo Arquitectónico","ARQ-017","ARQ-017-PACKAGING.md","5. Modelo Arquitectónico","ENCABEZADO_SEMANTICO","MEDIA","DESCARTAR_EDITORIAL","Encabezado o estructura documental; no demuestra identidad terminológica autónoma.","EN_REVISION"
"Modelo de Generación","ARQ-010","ARQ-010-TEMPLATE_ENGINE.md","5. Modelo de Generación","ENCABEZADO_SEMANTICO","MEDIA","DESCARTAR_EDITORIAL","Encabezado o estructura documental; no demuestra identidad terminológica autónoma.","EN_REVISION"
"Module","ARQ-004","ARQ-004-MODULES.md","5. Responsabilidades","DEFINICION_EXPLICITA","ALTA","CANDIDATO_FUERTE","Dispone de evidencia definitoria explícita en una autoridad ARQ con cuerpo normativo.","EN_REVISION"
