"Termino","Documento","TipoEvidencia","Confianza","Clasificacion","Motivo","EstadoValidacion"
"¿Qué es MEF?","FND-000","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR","","EN_REVISION"
"Alcance del producto","FND-000","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Árbol de Decisiones","FND-010","TITULO_DOCUMENTAL","ALTA","REVISAR_AUTORIDAD","Título documental; requiere demostrar que representa concepto terminológico.","EN_REVISION"
"Áreas de actuación","FND-002","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Arquitectura","FND-001","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR_CONCEPTO","Concepto potencialmente terminológico; requiere definición y autoridad.","EN_REVISION"
"Arquitectura","FND-002","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR_CONCEPTO","Concepto potencialmente terminológico; requiere definición y autoridad.","EN_REVISION"
"Aspiración","FND-001","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Beneficiarios","FND-002","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Carta del Proyecto","FND-000","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR","","EN_REVISION"
"Carta del Proyecto","FND-000","TITULO_DOCUMENTAL","ALTA","REVISAR_AUTORIDAD","Título documental; requiere demostrar que representa concepto terminológico.","EN_REVISION"
"Compromiso","FND-001","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Compromisos","FND-000","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Compromisos","FND-002","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Comunidad","FND-001","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR_CONCEPTO","Concepto potencialmente terminológico; requiere definición y autoridad.","EN_REVISION"
"Comunidad","FND-002","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR_CONCEPTO","Concepto potencialmente terminológico; requiere definición y autoridad.","EN_REVISION"
"Conocimiento","FND-001","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR_CONCEPTO","Concepto potencialmente terminológico; requiere definición y autoridad.","EN_REVISION"
"Constitución de MEF","FND-012","TITULO_DOCUMENTAL","ALTA","REVISAR_AUTORIDAD","Título documental; requiere demostrar que representa concepto terminológico.","EN_REVISION"
"Criterios de cumplimiento","FND-002","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Criterios de éxito","FND-000","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Decálogo del Desarrollador","FND-008","TITULO_DOCUMENTAL","ALTA","REVISAR_AUTORIDAD","Título documental; requiere demostrar que representa concepto terminológico.","EN_REVISION"
"Declaración de Misión","FND-002","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
